Ticket_ID,Customer_Message
1,"My credit card was charged twice, and I need a refund immediately."
2,The mobile app keeps crashing whenever I try to log in.
3,Can you provide more details about your subscription plans?
4,I want to cancel my membership. Please let me know the process.
5,My order is delayed. It was supposed to arrive last week.
6,The internet connection is too slow; I can't work like this.
7,I need help updating my billing information.
8,Can you explain the additional charges on my last invoice?
9,I want to upgrade my account to the premium plan.
10,The router is not connecting to the internet after restarting.
11,I have not received the refund I was promised last week.
12,Can I speak with a support representative?
13,Please assist me in cancelling my current plan and switching to a new one.
14,My delivery was damaged when it arrived.
15,I am unable to reset my account password; the link is broken.
16,Why was my card charged even though I didn't make a purchase?
17,Can you fix the issue with my account showing incorrect details?
18,I need assistance setting up my new internet connection.
19,"My subscription got cancelled, but I want to reactivate it."
20,The app is not displaying my recent transactions correctly.
21,This is a simulated customer message number 21
22,This is a simulated customer message number 22
23,This is a simulated customer message number 23
24,This is a simulated customer message number 24
25,This is a simulated customer message number 25
26,This is a simulated customer message number 26
27,This is a simulated customer message number 27
28,This is a simulated customer message number 28
29,This is a simulated customer message number 29
30,This is a simulated customer message number 30
31,This is a simulated customer message number 31
32,This is a simulated customer message number 32
33,This is a simulated customer message number 33
34,This is a simulated customer message number 34
35,This is a simulated customer message number 35
36,This is a simulated customer message number 36
37,This is a simulated customer message number 37
38,This is a simulated customer message number 38
39,This is a simulated customer message number 39
40,This is a simulated customer message number 40
41,This is a simulated customer message number 41
42,This is a simulated customer message number 42
43,This is a simulated customer message number 43
44,This is a simulated customer message number 44
45,This is a simulated customer message number 45
46,This is a simulated customer message number 46
47,This is a simulated customer message number 47
48,This is a simulated customer message number 48
49,This is a simulated customer message number 49
50,This is a simulated customer message number 50
51,This is a simulated customer message number 51
52,This is a simulated customer message number 52
53,This is a simulated customer message number 53
54,This is a simulated customer message number 54
55,This is a simulated customer message number 55
56,This is a simulated customer message number 56
57,This is a simulated customer message number 57
58,This is a simulated customer message number 58
59,This is a simulated customer message number 59
60,This is a simulated customer message number 60
61,This is a simulated customer message number 61
62,This is a simulated customer message number 62
63,This is a simulated customer message number 63
64,This is a simulated customer message number 64
65,This is a simulated customer message number 65
66,This is a simulated customer message number 66
67,This is a simulated customer message number 67
68,This is a simulated customer message number 68
69,This is a simulated customer message number 69
70,This is a simulated customer message number 70
71,This is a simulated customer message number 71
72,This is a simulated customer message number 72
73,This is a simulated customer message number 73
74,This is a simulated customer message number 74
75,This is a simulated customer message number 75
76,This is a simulated customer message number 76
77,This is a simulated customer message number 77
78,This is a simulated customer message number 78
79,This is a simulated customer message number 79
80,This is a simulated customer message number 80
81,This is a simulated customer message number 81
82,This is a simulated customer message number 82
83,This is a simulated customer message number 83
84,This is a simulated customer message number 84
85,This is a simulated customer message number 85
86,This is a simulated customer message number 86
87,This is a simulated customer message number 87
88,This is a simulated customer message number 88
89,This is a simulated customer message number 89
90,This is a simulated customer message number 90
91,This is a simulated customer message number 91
92,This is a simulated customer message number 92
93,This is a simulated customer message number 93
94,This is a simulated customer message number 94
95,This is a simulated customer message number 95
96,This is a simulated customer message number 96
97,This is a simulated customer message number 97
98,This is a simulated customer message number 98
99,This is a simulated customer message number 99
100,This is a simulated customer message number 100
